GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US54721,54721,ZCTA5 54721,1346,118,1309,119,0,9,5,6,3,4,0,9,10,14,19,14,2,3,17,13
8600000US54722,54722,ZCTA5 54722,4067,226,3922,228,35,37,37,32,3,5,0,9,3,5,67,44,0,9,67,44
8600000US54723,54723,ZCTA5 54723,1172,87,1131,85,5,9,8,9,3,4,0,9,0,9,25,22,0,9,25,22
8600000US54724,54724,ZCTA5 54724,7325,269,7240,276,6,8,1,3,5,7,0,12,2,3,71,60,5,8,66,59
8600000US54725,54725,ZCTA5 54725,2675,172,2641,173,0,9,3,4,3,5,0,9,5,7,23,13,0,9,23,13
8600000US54726,54726,ZCTA5 54726,1765,195,1744,196,8,12,6,11,0,9,0,9,2,3,5,9,0,9,5,9
8600000US54727,54727,ZCTA5 54727,4870,276,4682,276,17,16,9,9,49,28,0,9,32,38,81,55,3,4,78,55
8600000US54728,54728,ZCTA5 54728,6142,325,6044,319,35,42,31,34,22,15,0,12,5,7,5,6,5,6,0,12
8600000US54729,54729,ZCTA5 54729,32663,459,31150,468,337,142,45,34,391,141,0,18,4,6,736,190,6,10,730,191
8600000US54730,54730,ZCTA5 54730,4949,323,4863,316,8,12,7,10,16,23,0,9,0,9,55,31,0,9,55,31
8600000US54731,54731,ZCTA5 54731,683,78,653,80,0,9,3,4,0,9,0,9,18,21,9,7,0,9,9,7
8600000US54732,54732,ZCTA5 54732,2996,272,2917,260,12,22,2,3,0,9,0,9,0,9,65,76,0,9,65,76
8600000US54733,54733,ZCTA5 54733,1291,133,1215,110,0,9,9,10,6,6,0,9,55,73,6,6,0,9,6,6
8600000US54734,54734,ZCTA5 54734,871,114,851,110,0,9,0,9,3,4,0,9,8,10,9,13,0,9,9,13
8600000US54736,54736,ZCTA5 54736,4070,177,3955,174,15,15,6,12,9,11,0,9,55,41,30,18,0,9,30,18
8600000US54737,54737,ZCTA5 54737,595,118,588,118,0,9,0,9,7,9,0,9,0,9,0,9,0,9,0,9
8600000US54738,54738,ZCTA5 54738,3363,208,3131,178,56,44,3,4,61,78,3,6,17,17,92,89,16,23,76,85
8600000US54739,54739,ZCTA5 54739,5300,283,4893,265,14,21,0,12,257,120,0,12,14,12,122,67,10,9,112,67
8600000US54740,54740,ZCTA5 54740,1960,146,1897,148,8,9,3,3,1,3,0,9,43,27,8,9,0,9,8,9
8600000US54741,54741,ZCTA5 54741,1798,182,1756,181,0,9,17,18,0,9,0,9,2,3,23,17,0,9,23,17
8600000US54742,54742,ZCTA5 54742,4647,355,4365,320,14,11,49,69,96,126,0,9,3,4,120,104,0,9,120,104
8600000US54745,54745,ZCTA5 54745,1872,151,1862,150,0,9,2,4,8,7,0,9,0,9,0,9,0,9,0,9
8600000US54746,54746,ZCTA5 54746,771,117,746,114,0,9,0,9,4,5,1,1,15,23,5,6,0,9,5,6
8600000US54747,54747,ZCTA5 54747,2714,203,2249,186,0,9,10,14,39,54,0,9,399,149,17,17,10,14,7,10
8600000US54748,54748,ZCTA5 54748,1338,334,1305,339,0,9,0,9,17,23,0,9,0,9,16,20,0,9,16,20
8600000US54749,54749,ZCTA5 54749,1280,139,1231,139,9,8,7,9,7,6,0,9,0,9,26,24,0,9,26,24
8600000US54750,54750,ZCTA5 54750,953,79,942,80,1,3,0,9,1,2,0,9,3,5,6,8,6,8,0,9
8600000US54751,54751,ZCTA5 54751,25768,334,23924,382,236,61,71,48,832,192,0,16,81,50,624,156,96,96,528,134
8600000US54754,54754,ZCTA5 54754,1673,144,1464,132,3,6,80,42,9,11,0,9,65,63,52,31,4,5,48,31
8600000US54755,54755,ZCTA5 54755,7201,253,6983,251,26,18,38,20,5,4,0,12,5,10,144,50,0,12,144,50
8600000US54756,54756,ZCTA5 54756,885,89,875,89,4,6,2,4,0,9,0,9,0,9,4,4,0,9,4,4
8600000US54757,54757,ZCTA5 54757,3296,222,3227,209,14,14,13,13,2,3,0,9,0,9,40,33,0,9,40,33
