zip code,Total,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Assoc Ratio,Bachelor Ratio,Master Ratio,Prof Degree Ratio,Doctor Ratio
53718,9562,1045,3484,1130,135,194,0.10928676,0.364358921,0.118176114,0.014118385,0.020288643
53719,21141,1967,8471,3014,626,693,0.093041956,0.400690601,0.142566577,0.029610709,0.032779906
53726,2390,50,690,581,424,440,0.020920502,0.288702929,0.243096234,0.177405858,0.184100418
53801,642,79,60,19,3,2,0.12305296,0.093457944,0.029595016,0.004672897,0.003115265
53802,24,0,0,0,0,0,0,0,0,0,0
53803,870,131,83,59,3,0,0.150574713,0.095402299,0.067816092,0.003448276,0
53804,895,129,58,23,3,0,0.144134078,0.064804469,0.025698324,0.003351955,0
53805,3723,521,404,160,33,6,0.139940908,0.108514639,0.042976095,0.00886382,0.001611604
53806,1248,183,116,39,3,6,0.146634615,0.092948718,0.03125,0.002403846,0.004807692
53807,3229,497,581,180,11,4,0.153917622,0.179931867,0.055744813,0.003406627,0.001238774
53808,812,122,97,17,0,3,0.150246305,0.119458128,0.020935961,0,0.003694581
53809,2648,391,329,114,29,11,0.14765861,0.124244713,0.04305136,0.010951662,0.004154079
53810,264,26,29,5,5,0,0.098484848,0.109848485,0.018939394,0.018939394,0
53811,2331,261,390,208,13,49,0.111969112,0.167310167,0.089232089,0.005577006,0.021021021
53813,3992,493,451,209,60,27,0.123496994,0.112975952,0.052354709,0.01503006,0.006763527
53816,487,72,43,13,1,2,0.147843943,0.088295688,0.026694045,0.002053388,0.004106776
53817,101,17,21,2,0,0,0.168316832,0.207920792,0.01980198,0,0
53818,7537,563,1334,767,138,197,0.074698156,0.176993499,0.101764628,0.018309672,0.026137721
53820,1661,231,225,70,8,7,0.139072848,0.135460566,0.042143287,0.004816376,0.004214329
53821,5961,669,729,245,33,30,0.112229492,0.122294917,0.041100486,0.005535984,0.005032713
53825,308,39,48,7,0,0,0.126623377,0.155844156,0.022727273,0,0
53826,776,108,71,29,0,3,0.139175258,0.091494845,0.037371134,0,0.003865979
53827,179,24,13,6,0,0,0.134078212,0.072625698,0.033519553,0,0
53901,10465,1139,1216,391,86,48,0.108838987,0.116196847,0.037362637,0.008217869,0.004586718
53910,2395,176,156,67,8,0,0.07348643,0.065135699,0.027974948,0.003340292,0
53911,887,123,153,32,4,12,0.138669673,0.172491545,0.036076663,0.004509583,0.013528749
